Wikipedia namein native language,Language,Script (ISO15924 code),WPcode,Activeusers,Launch date,Logo
ویکیپیدیای کوردیی سۆرانی(Wîkîpîdiyay Kurdî Soranî),Kurdish (Sorani),Arab,ckb,142,13 August 2009,
Íslenska Wikipedia,Icelandic,Latn,is,138,5 December 2003,
မြန်မာဝီကီပီးဒီးယား(Mranma wikipi:di:ya:),Burmese,Mymr,my,135,July 2004 (unknown day),
Wikipediang Tagalog,Tagalog,Latn,tl,129,1 December 2003,
Norsk (Nynorsk) Wikipedia,Norwegian (Nynorsk),Latn,nn,126,31 July 2004,
Монгол Википедиа(Mongol Vikipyedia),Mongolian,Cyrl,mn,117,28 February 2004,
ਪੰਜਾਬੀ ਵਿਕੀਪੀਡੀਆ(Pañjābī vikīpīḍīā),Punjabi,Guru,pa,116,3 June 2002,
Беларуская Вікіпэдыя(Bielaruskaja Vikipiedyja),Belarusian(Taraškievica orthography),Cyrl,be-tarask,115,27 March 2007,
Wicipedia Cymraeg,Welsh,Latn,cy,111,July 2003 (unknown day),
Wikipedia n'asturianu,Asturian,Latn,ast,104,20 July 2004,
Wîkîpediya kurdî(ویکیپەدیا کوردی),Kurdish (Kurmanji),Latn/Arab,ku,101,4 January 2004,
नेपाली विकिपिडिया(Nepālī vikipiḍiyā),Nepali,Deva,ne,100,3 June 2002,
Scots Wikipædia,Scots,Latn,sco,97,23 June 2005,
Wikipedia e brezhoneg,Breton,Latn,br,95,June 2004 (unknown day),
অসমীয়া ৱিকিপিডিয়া(Ôxômiya wikipidiya),Assamese,Beng,as,94,2 June 2002,
Wikipèdia en occitan,Occitan,Latn,oc,92,20 October 2003,
Pe̍h-ōe-jī: Holopedia orWikipedia Bân-lâm-gú,Southern Min,Latn,zh-min-nan,92,28 May 2004,
Frysktalige Wikipedy,West Frisian,Latn,fy,91,2 September 2002,
تورکجه ویکی‌پدیا(Azərbaycanca Vikipediya),South Azerbaijani,Arab,azb,90,July 2015,
Википедияи Тоҷикӣ(Vikipedijai Toçikī),Tajik,Cyrl/Latn,tg,88,27 January 2004,
Wikipedia basa Jawa,Javanese,Latn,jv,88,8 March 2004,
संस्कृतविकिपीडिया(Saṃskṛta vikipīḍiyā),Sanskrit,Deva,sa,81,December 2003 (unknown day),
Кыргыз Википедиясы(Kırgız Wikipediya),Kyrgyz,Cyrl,ky,79,3 June 2002,
Wikipedia Igbo,Igbo,Latn,ig,78,Unknown date,
Alemannische Wikipedia,Alemannic German,Latn,als,78,13 November 2003,
Татар Википедиясе(Tatar Wikipediäse),Tatar,Cyrl,tt,78,15 September 2003,
Waray Wikipedia,Waray,Latn,war,78,25 September 2005,
Soomaali Wikipedia,Somali,Latn,so,76,Unknown date,
Wikipéédíà Yorùbá,Yoruba,Latn,yo,75,2008 (unknown date),
Vicipéid na Gaeilge,Irish,Latn,ga,75,October 2003 (unknown day),
සිංහල විකිපීඩියා(Siṁhala wikipīḍiyā),Sinhala,Sinh,si,73,Unknown date,
Wikipediya mu Ikinyarwanda,Kinyarwanda,Latn,rw,72,Unknown date,
"Traditional Chinese: 吳語維基百科,simplified Chinese: 吴语维基百科(Romanized: Wu-nyu Vi-ci-pah-khu)",Wu Chinese,Hans/Hant,wuu,70,1 October 2006,
Башҡорт Википедияһы(Başķort Vikipediya),Bashkir,Cyrl,ba,69,16 April 2005,
ગુજરાતી વિકિપીડિયા(Gujrātī vikipīḍiyā),Gujarati,Gujr,gu,69,July 2004 (unknown day),
វិគីភីឌាភាសាខ្មែរ(Vikiiphiidiaa phiăsaa khmae),Khmer,Khmr,km,68,15 January 2005,
Wikipedia op Lëtzebuergesch,Luxembourgish,Latn,lb,68,21 July 2004,
Biquipedia en aragonés,Aragonese,Latn,an,67,21 July 2004,
Wikipédia Basa Bali(ᬯᬶᬓᬶᬧᬾᬤᬶᬬ ᬩᬲᬩᬮᬶ),Balinese,Latn,ban,64,14 October 2019,
Wikipedia in lombard,Lombard,Latn,lmo,63,October 2005 (unknown day),
"Чăваш Википедийĕ(Russian-based: Căvaš Vikipedijĕ, Turkish-based: Çovaş Vikipyediyö)",Chuvash,Latn,cv,63,22 November 2004,
Нохчийн Википеди(Noxçiyn Wikipedi),Chechen,Cyrl,ce,61,28 February 2005,
Boarische Wikipedia,Bavarian,Latn,bar,60,2 May 2006,
Wikipedyang Bikol Sentral,Central Bikol,Latn,bcl,58,24 November 2007,
Wikipedio en Ido,Ido,Latn,io,56,2004 (unknown date),
